title,node nr.,author,stadtbezirk,year,thema,wirkung,rank,status,desc,umsetzung,score_wenigergut,score_gut,ergebnis_haushaltsberatungen,stellungnahme_verwaltung,bezirksbeiratshinweis,gemeinderat_prueft,path,topic
Ortsbus-Linie in Stammheim zu einer S-Bahn-Haltestelle erweitern,70688,Jan1985,"
        Stammheim      ",2023.0,Verbindungen,Ausgabe,1244.0,,"Die neue Ortsbus -Linie in Stammheim zu S-Bahn-Haltestelle erweiter. Z.B. Kornwestheim, Zuffenhausen oder Neuwirtshaus.",,-125,338,,,"



Der Vorschlag wird vom Bezirksbeirat Stammheim nicht unterstützt.


",,source_files/buergerhaushalt_3.html,"Busse, Bahnen (ÖPNV)"
Doppelkreisel im Zentrum Weilimdorf,70615,Bayernfan,"
        Weilimdorf      ",2023.0,Kreisverkehr,Ausgabe,1245.0,,"Der schon jahrelang geplante Doppelkreisel Rennstr./Solitudestr./Pforzheimer Str. und Glemsgaustr./Solitudestr. im Weilimdorfer Zentrum sollte jetzt endlich rasch gebaut werden. Dies dient der Verstetigung des Verkehrsflusses und wäre umweltfreundlicher, als der jetzige Zustand.",,-153,338,,,,,source_files/buergerhaushalt_3.html,Verkehr
Kreisverkehre einrichten auf Robert-Koch-Straße von Vaihinger Hauptstraße bis Rohr,72442,Quax,"
        Vaihingen      ",2023.0,Kreisverkehr,Ausgabe,1246.0,,"Die Robert-Koch-Straße in S-Vaihingen führt zwischen der Haltestelle Hegel-Gymnasium (Behringstraße) und der Hauptstraße überwiegend am Schul-Campus, Kitas und Wohnhäusern vorbei.Sie muss von Schülern die vom Bahnhof Vaihingen zum Schul-Campus laufen überquert werden.Ein Durchfahrtverbot für LKW ist beschildert, wird aber nicht eingehalten.In Rohr wurden die Kreuzungen mit großem Erfolg in Kreisverkehre umgewandelt (zum Teil mit zusätzlicher Ampel) . Dies bitte nach Vahingen importieren!Vorschlag:Kreisverkehr Robert-Koch- / Liebknechtstraße mit AmpelKreisverkehr Robert-Koch- / VischerstraßeKreisverkehr Robert-Koch- / Waldburgstraße mit AmpelKreisverkehr Robert-Koch- / Vollmoellerstraße mit Ampel(bevor jemand sich gegen Kreisverkehr ereifert: bitte die in Rohr anschauen, funktionieren seit Jahren gut und unfallrei)",,-162,338,,,,,source_files/buergerhaushalt_3.html,Verkehr
Bau einer Calisthenics-Anlage in Möhringen,70245,Sedson,"
        Möhringen      ",2023.0,Sonstige Sportanlagen,Ausgabe,1247.0,,"Bau einer Calisthenics-Anlage zur sportlichen Ertüchtigung an der frischen Luft. Mögliche Lagen: Möhringer Park, Spielplatz am Riedsee, Spielplatz am Sindelbach oder am Polizeispielplatz.",,-188,338,,,,,source_files/buergerhaushalt_3.html,"Sport, Bäder"
Zuschuss Erhöhung für Bund Bildender Künstlerinnen Künstlerinnen Württembergs e.V.,70496,HerzbergJochum,"
        Stuttgart (gesamt)      ",2023.0,Weitere,Ausgabe,1248.0,,"Die Aufgaben unseres Kunstvereins sind vielfältig. Die weiblichen Mitglieder stärken die Kunst von Frauen in Baden-Württemberg ehrenamtlich. Ob in Präsenz durch Ausstellungen  (Planung/ Konzeption/ Pressearbeit) im Atelierhaus oder an externen Orten (z.B. Kunstbezirk, RP Karlsruhe, Rathaus Stuttgart, Ungarisches Kulturinstitut, etc.) und online durch Sichtbarmachung der Künstlerinnen auf der Vereinseigenen Webseite und in den sozialen Netzwerken.Um dieses Bestreben der Förderung der Kolleginnen weiter voranbringen zu können, ist für uns eine Erhöhung der Zuschüsse notwendig geworden.Es wird eine Teilzeitstelle geschaffen werden, ein Bindeglied für die Presse- und Öffentlichkeitsarbeit aber auch Ansprechpartnerin für interne Aufgaben wie Ausstellungsassistenz/ Unterstützung bei der Gestaltung unserer Webseite.Die  Erhöhung der Förderung um 5000 Euro auf jährlich 15.000 Euro würde für unsere ehrenamtliche Arbeit zur Sichtbarmachung von Künstlerinnen erleichtern. Es könnten diese wichtigen Aufgaben des Vereins besser umgesetzt werden können.(Moderation hat Namen entfernt)",,-241,338,,,,,source_files/buergerhaushalt_3.html,Kultur
Ampel an Löffelstraße besser schalten,71635,Vivi789,"
        Degerloch      ",2023.0,Ampeln,Ausgabe,1249.0,,"Die beiden Ampeln an der Löffelstraße werden nicht gleichzeitig grün, dabei ist der Streifen zwischen den beiden Fahrbahnen zu kurz für Fahrräder oder größere Kinderwägen- somit sollten beide Ampeln so geschaltet werden dass sie gemeinsam grün werden.",,-97,337,,,,,source_files/buergerhaushalt_3.html,Verkehr
Fußgängerüberweg und Beschilderung vor Kindergarten St Thomas Morus Heumaden ,70143,kyzee,"
        Sillenbuch      ",2023.0,Fußgängerüberweg,Ausgabe,1250.0,,"Der Kindergarten liegt an einer Kreuzung und von keiner der drei Richtungen ist ein Verkehrszeichen (Nr. 136-10 ) zu sehen. Auch ist kein Fußgängerüberweg eingezeichnet, sodass die Kinder auf den Verkehr achten müssen und nicht umgekehrt. Die Straße lädt förmlich dazu ein, schneller als die erlaubten 30 zu fahren. Geschwindigkeitskontrollen wurden noch nie durchgeführt. Es ist eine riesen Sicherheitslücke in dem Gebiet. Dort ist sehr viel Platz um Beschilderungen und Fußgängerüberwege anzubringen.",,-105,337,,,,,source_files/buergerhaushalt_3.html,Verkehr
Dachswaldweg: Vorgeschriebene Geschwindigkeit besser zeigen,71926,Lici,"
        Vaihingen      ",2023.0,Verkehrsschilder,Ausgabe,1251.0,,Sichtbare Hinweise auf vorgeschriebene Geschwindigkeiten im Dachswaldweg,,-120,337,,,,,source_files/buergerhaushalt_3.html,Verkehr
Weniger Autobahnlärm A 8 Rohr/Dürrlewang,70975,Thomas Voit,"
        Vaihingen      ",2023.0,Lärm,Ausgabe,1252.0,,"Längs der Autobahn A8 gibt es schon rudimentäre Maßnahmen. Diese sind zu vernetzen, verbinden und zu verbessern. Damit kann auch der Dürrlewangwald als Naherholungsgebiet mit Spiel-, Bolz- und Grillplatz viel besser genutzt werden.",,-142,336,,,,,source_files/buergerhaushalt_3.html,Verkehr
Durchfahrt Möhringer Straße/Böheimstraße unattraktiv machen,70920,Nina1234,"
        Stuttgart-Süd      ",2023.0,Verkehrsberuhigung,Ausgabe,1253.0,,"Trotz des Umfahrungstunnels sind immernoch viele Autos im Wohngebiet zwischen Südheimer Platz und Marienplatz auf der Möhringer Straße/Böheimstraße unterwegs und verursachen Lärm.Die Durchfahrt sollte mit Geschwindigkeitsbegrenzung, Blitzern und Roten Ampeln unattraktiv gestaltet werden.Besonders Nachts sind öfter Raser unterwegs.",,-276,336,,,,,source_files/buergerhaushalt_3.html,Verkehr
Zebrastreifen an Neuwirtshausstraße,71655,Suba,"
        Zuffenhausen      ",2023.0,Fußgängerüberweg,Ausgabe,1254.0,,"Die Schulkinder der Grundschule Neuwirtshaus gehen zu Fuß zum Sportunterricht in die Sporthalle der SpVgg Neuwirtshaus. Damit sie sicher über die abschüssige Neuwirtshausstraße kommen, braucht es beim Treppenaufgang zum Sportlerheim von der Halligenstraße aus einen Zebrastreifen. Der Übergang über die Straße ist oft zugeparkt und durch parkende Autos schlecht einsehbar. Um Unfälle zu verhindern, muss ein gut sichtbarer Zebrastreifen an dieser Stelle gebaut werden.",,-96,335,,,,,source_files/buergerhaushalt_3.html,Verkehr
Übersetzungsdienstleistungen werden immer wichtiger! Kontaktstelle einrichten,70100,Elphaba,"
        Stuttgart (gesamt)      ",2023.0,Weitere,Ausgabe,1255.0,,"Beim Charlottenplatz 17 soll von der Kommune eine Kontaktstelle für Übersetzungsdienstleistungen eingerichtet werden. Möglichst viele Menschensprachen der Erde sollten zunehmend verstanden und übersetzt werden können. Die von der Kontaktstelle auf Anfrage vermittelten Sprachdienstleistenden gehören jeweils einer der drei Kategorien an: ehrenamtliche, freiberuflich/gewerbliche oder amtlich zertifizierte Übersetzende mit guten Deutschkenntnissen.",,-181,335,,,,,source_files/buergerhaushalt_3.html,"Schulen, Bildung"
Zweisystemstadtbahn (Karlsruher Modell) erwerben,72449,sorgenfri,"
        Stuttgart (gesamt)      ",2023.0,Weitere,Ausgabe,1256.0,,"Der Schienenverkehr in Stuttgart muss flexibler werden. Schließlich käme auch im PKW-Verkehr niemand auf den Gedanken, dass ein Fahrzeug nur auf Autobahnen fahren kann und innerstädtisch auf ein anderes Modell umgestiegen werden muss. Nutzer des ÖPNV möchten genauso einfach von A nach B und nach C kommen. Die Fahrzeuge müssen flexibel eingesetzt werden können. In Leinfelden wird die Stadtbahn ausgebremst, obwohl sie problemlos auf den S-Bahn-Gleisen bis zum Flughafen, bzw. so wie früher nach Neuhausen a. d. F. weiterfahren könnte. Auch die U 3, bzw. U 8 (oder wenn sie endlich kommt, die U 17) könnte über den Vaihinger Bahnhof hinaus die Gäubahn bedienen und weiter hinunter in den Stuttgarter Talkessel fahren.Im Raum Karlsruhe ist man diesbezüglich seit Jahrzehnten schon weiter, während Stuttgart nachwievor hinterherhinkt.",,-209,335,,,,,source_files/buergerhaushalt_3.html,"Busse, Bahnen (ÖPNV)"
Tempolimit Wagrainstr/Hofener Straße ,71814,Mkra,"
        Bad Cannstatt      ",2023.0,"Tempo 20, 30, 40, 50",Ausgabe,1257.0,,Tempolimit Wagrainstr/Hofener Straße,,-250,335,,,,,source_files/buergerhaushalt_3.html,Verkehr
Verkehrsberuhigte Gaußstraße durch Durchfahrverbote,70313,AeroForceOne,"
        Stuttgart-West      ",2023.0,Durchfahrverbote,Ausgabe,1258.0,,"Das Problem:Die Gaußstraße ist eine enge Straße durch ein Wohngebiet, wird jedoch täglich von mehreren Hundert Autos als Ein- und Ausfallstraße in den Westen genutzt. Kaum ein Verkehrsteilnehmer hält sich an die vorgegebenen 30km/h.Die Folgen:- Schlangen von Autos quälen sich aneinander vorbei und beschädigen dabei geparkte Autos (Polizeilich bestätigt häufig Fahrerflucht)- Die vielen Kinder im Wohngebiet werden akut gefährdet- hohe Lärmbelastung aller AnwohnerMögliche Lösungen:- sofortige Lösung: Gaußstr. mittels Durchfahrverbot zur Anliegerstraße machen und dies konsequent kontrollieren.- einseitige Sperrung der Gaußstr. mittels Schranke nach dem Vorbild des Heusteigviertels dauerhaft / während der Rush-Hour-Zeiten und Nachts.Lassen Sie uns Stuttgart zu einer Stadt mit Lebensqualität machen. Wohngebiete sind Orte des Rückzugs und keine Hauptverkehrsachsen!",,-274,335,,,,,source_files/buergerhaushalt_3.html,Verkehr
Rathaus entwickeln,71188,iFisch,"
        Stuttgart (gesamt)      ",2023.0,städtische Gebäude,Ausgabe,1259.0,,"Das Stuttgarter Rathaus ist ein städtebaulicher Schandfleck, der die komplette Innenstadt rund um den Marktplatz herunterzieht.Die Stadt sollte sich daher ein angemessen repräsentatives Rathaus ""zulegen"" und den jetzigen Klotz (nicht den Altbau!) entwickeln. Ob dafür eine Fassadenbegrünung ähnlich der neuen Calwer Passage, eine neue und sanierte Fassade, oder ein kompletter Neubau erforderlich ist, sollte ein Wettbewerb klären.Es wäre doch sicher toll, wenn man zur IBA 2027 erste Ideen vorlegen könnte, wie man das Rathaus endlich wieder zu einem attraktiven Gebäude macht.",,-367,335,,,,,source_files/buergerhaushalt_3.html,"Stadtplanung, Städtebau"
Buslinie 99 in Stammheim geringfügig erweitern,70059,Dr. Anne Gabius,"
        Stammheim      ",2023.0,Verbindungen,Ausgabe,1260.0,,"Durch das Neubaugebiet Langenäcker-Wiesert kommen neue potentielle Fahrgäste für die SSB hinzu. Eine bessere Anbindung über eine geringfügige Erweiterung der Linie 99 zur Herbertstraße würde dafür sorgen, dass der Umstieg auf den ÖPNV stärker angenommen wird.",,-92,334,,,"



Dies wurde vom Bezirksbeirat Stammheim bereits beantragt.


",,source_files/buergerhaushalt_3.html,"Busse, Bahnen (ÖPNV)"
Usability des Sitzungskalenders stärken!,72068,danielgraesel,"
        Stuttgart (gesamt)      ",2023.0,Verwaltung,Ausgabe,1261.0,,"Der Sitzungskalender zeigt die Sitzungen kommunaler Gremien (Gemeinderat, Ausschüsse, Bezirksbeiräte) an samt Tagesordnungen und ggf. Sitzungsunterlagen (https://www.domino1.stuttgart.de/web/ksd/KSDRedSystem.nsf/). Die Nutzerfreundlichkeit ist allerdings beschränkt, da wichtige - nach zeitgemäßen EDV-Maßstäben - Funktionalitäten fehlen:- komfortable Filterfunktionen, z.B. nach Stadtteilen oder Themen, - die Anzeige des Sitzungskalenders der Stadt Karlsruhe kann z.B. auf bestimmte Gremien beschränkt werden -- Nachverfolgungsmöglichkeiten, um sich über Neuigkeiten ohne aufwändige und wiederholende manuelle Suche informieren zu können, etwa in Form einer E-Mail-Benachrichtigung bei neuen Terminen oder Aktualisierungen der Tagesordnung.- Direkter Zugriff auf alle sitzungsrelevanten Unterlagen, z.B. Pläne, Stellungnahmen, Protokolle.Hintergrund dieses Vorschlags ist, dass in den kommunalen Gremien wichtige Entscheidungen getroffen werden, teilweise mit erheblichen Auswirkungen auf lokaler Ebene. Aufgrund der wenig nutzerfreundlichen Bedienbarkeit des Sitzungskalenders fällt es schwer, sich im Vorfeld über interessante Themen zu informieren. Eine Umsetzung dieses Vorschlags könnte demgegenüber Möglichkeiten der frühzeitigen Partizipation schaffen und somit die Attraktivität von Kommunalpolitik erhöhen bei gleichzeitiger größerer Zufriedenheit von Bürger*innen mit Entscheidungen kommunaler Gremien.",,-97,334,,,,,source_files/buergerhaushalt_3.html,Verwaltung
Neue Buslinie für Stammheim zur Verstärkung der U15,70060,Dr. Anne Gabius,"
        Stammheim      ",2023.0,Verbindungen,Ausgabe,1262.0,,"Verstärkerfahrten der U 15 im Berufsverkehr wären dringend erforderlich, sind aber aus Kapazitätsgründen am Pragsattel lt. SSB nicht möglich. Dennoch wird eine rasche Lösung benötigt. Eine neue Buslinie, die während des Berufsverkehrs auf der Strecke der Buslinie 508 direkt zum S-Bahnhof Zuffenhausen verkehrt, könnte die Situation deutlich verbessern.",,-111,334,,,"



Diese Forderung wurde bereits vom Bezirksbeirat Stammheim beantragt und wird befürwortet.


",,source_files/buergerhaushalt_3.html,"Busse, Bahnen (ÖPNV)"
"Gefahrenstelle Durchfahrt Internationale Schule, Schöttlestr. entschärfen ",70442,pappa_baer,"
        Degerloch      ",2023.0,"Tempo 20, 30, 40, 50",kostenneutral,1263.0,,"Eigentlich besteht auf diesem Weg ein Durchfahrtverbot (Ausnahme für die Gärtnereien), was aber von vielen missachtet wird.Die Durchfahrt unter der Internationalen Schule ist sehr eng, so dass maximal 1 Auto und 1 Fahrrad aneinander vorbeipassen. Zusätzlich sind vor allem zu Schulzeiten viele Kinder und Eltern auf dem Weg zur Straßenbahn unterwegs. Trotzdem fahren viele der Autofahrer zum Teil mit bis zu 50 km/h und mehr durch diesen Engpass und gefährden so Fußgänger und Fahrradfahrer.Für diesen Streckenabschnitt sollte die Geschwindigkeit auf maximal Tempo 20 besser auf Tempo 10 beschränkt werden, da auch kurz nach Unterführung ein weiterer Fußweg kreuzt.",,-127,334,,,,,source_files/buergerhaushalt_3.html,Verkehr
Blütenstreifen statt Solarparks an Autobahnen und Verkehrswegen,71519,Ingo Lau,"
        Stuttgart (gesamt)      ",2023.0,Weitere,Ausgabe,1264.0,,"Die Flächen entlang von Straßen und Autobahnen (Straßenbegleitgrün) sind keine ungenutzten Flächen. Sie werden bislang nicht vom Menschen genutzt, aber sehr wohl von vielen Insekten, Bestäubern und Wildbienen.  Straßenbankette sind daher wertvolle Rückzugsgebiete für diese Tiere. Daher sollte sich Stuttgart nicht an der Solarpark-Initiative des Landes BW beteiligen sondern stattdessen Blühstreifen mit heimischen Wildblumen entlang der städtischen Verkehrswege fördern. Damit würde die Stadt einen wertvollen Beitrag zur Förderung und Erhaltung der Biodiversität in Stuttgart leisten.Nachdem bereits viele Wiesen und Streuobstwiesen für Neubaugebiete und Monokulturen geopfert wurden. Sollte man jetzt nicht auch noch die ""Restnatur"" entlang der Verkehrswege zerstören.",,-286,334,,,,,source_files/buergerhaushalt_3.html,"Grünflächen, Wald, Friedhöfe"
Spielplatz Fuchwaldstr. attraktiv machen,72139,Bella29,"
        Stuttgart-Süd      ",2023.0,Spielplätze,Ausgabe,1265.0,,Spielplatz für Kinder attraktiv machen. Fuchwaldstr. hoch gegenüber der Bäckerei. Nicht so viele Geräte vorhanden und attraktiv leider auch nicht.,,-105,333,,,,,source_files/buergerhaushalt_3.html,"Grünflächen, Wald, Friedhöfe"
"Unterführung am Schillerplatz, Stuttgart-Vaihingen",70804,Norman Bates,"
        Vaihingen      ",2023.0,Fußgängerüberweg,Ausgabe,1266.0,,"Es sollte unbedingt geprüft werden, ob die Unterführung an der U-Bahn-Haltestelle in Stuttgart-Vaihingen, Schillerplatz wieder reaktiviert oder neu erstellt werden kann. Zum einen ist es ziemlich eng, wenn die U-Bahnen halten und die Personen noch eben schnell, über die Straße wollen. Klappt dies nicht ist ein ""Stau"" von Menschen an der Fußgängerampel - vor den Personen fahren dann die Autos und im Rücken die U-Bahn. Zudem ist die Ampelschaltung ziemlich Fußgängerunfreundlich geschaltet. Von der Hauptstraße in die Häberlinstraße ist fast nicht am Stück zu schaffen. Eine Unterführung würde hier weiterhelfen oder am besten die U-Bahn-Haltestelle unterirdisch - Vaihingen ist tagsüber ein ziemliches Nadelöhr und dann Stau ohne Ende. Würde die Verkehrsbelastung deutlich reduzieren, wenn die U-Bahn hier unterirdisch geführt werden würde.",,-150,333,,,,,source_files/buergerhaushalt_3.html,Verkehr
Bildung eines Kindervorstandes und Einrichtung eines Zukunftsrat  auf dem Aktivspielplatz Raitelsberg - Aki steht für Teilhabe,72349,Ameise,"
        Stuttgart-Ost      ",2023.0,Jugendarbeit,Ausgabe,1267.0,,"Der Aktivspielplatz Raitelsberg befindet sich an den Stadtteilen Gaisburg, Berg und Ostheim in Stuttgart Ost, in dem viele Familien mit besonderen Lebenslagen leben: sie verfügen häufig über ein geringes Einkommen, leben in vergleichsweisen kleinen Wohnungen und es gibt viele Kinder, die bei einem alleinerziehenden Elternteil aufwachsen. Es gibt Unterkünfte für Geflüchtete sowie eine signifikant hohe Rate von Familien, die Unterstützung durch Hilfe zur Erziehung (HzE) ambulant oder stationär erhalten auf Grund ihrer besonderen Belastungs- Situationen.Der Aktivspielplatz hat in einem Umstrukturierungsprozess über die letzten vier Jahre viel dafür getan, mehr Beteiligung zu ermöglichen: so wurde das Miteinander von professionellen und ehrenamtlichen Helferinnen konsequent ausgebaut und im Dienstplan aufgenommen, verschiedene Angebote jenseits der klassischen offenen Kinder und Jugendarbeit installiert, und eine Kinderkonferenz eingerichtet, welche gemeinsam über die Aktivitäten des Aktivspielplatzes spricht und mitentscheidet, wie sich das Angebot auf dem Platz weiter entwickeln soll.Der Aktivspielplatz Raitelsberg plant nun gemeinsam mit den Kindern (wenn die Mittel dies ermöglichen werden) einen Ausbau dieser beteiligungsorientierten Arbeit:Es soll ein Kindervorstand eingerichtet werden, welcher gemeinsam mit der Kinderkonferenz und dem Vereinsvorstand den Aki leitet.Der Impuls für den „Kindervorstand“ kam während einer Kinderkonferenz im Sommer 2022 aus den Reihen der Kinder.„Wir könnten doch auch einen Vorstand machen und mitbestimmen.“Diese geniale Idee der Kinder soll mit dem Bürgerhaushalt umgesetzt werden und könnte damit erstmalig in Stuttgart in der offenen Kinder- und Jugendarbeit als Pilot umgesetzt werden. Gebt unseren Kindern und Jugendlichen alle Möglichkeiten teilhaben zu können.",,-179,333,,,,,source_files/buergerhaushalt_3.html,"Kinder, Jugend, Familie"
Gründung von LGBT Senior:innen Communities,71621,aus dem Westen,"
        Stuttgart-West      ",2023.0,Senioren,Ausgabe,1268.0,,Nach Londoner Vorbild Wohngemeinschaften für Rentner:innen der LGBT Community im Stadtgebiet,,-223,333,,,,,source_files/buergerhaushalt_3.html,Senioren
"Im Rahmen der Russland-Sanktionen sanktioniertes Eigentum beschlagnahmen und, wo rechtlich möglich, enteignen",72395,Highwayman82,"
        Stuttgart (gesamt)      ",2023.0,Zusätzliche Themen,Einnahme,1269.0,,"1. Die Stadt Stuttgart wird aufgefordert zu überprüfen ob im Rahmen der durch die EU/Deutschland sanktionierte Personen oder Organisationen die das russische Regime unterstützen, Liegenschaften oder Besitz in Stuttgart unterhalten.2. Die Stadt Stuttgart wird aufgefordert dies ebenso für unmittelbar oder mittelbar in Besitz befindliche Institutionen wie z.B. Bank- oder Immobilienbeteiligungsgesellschaften zu prüfen.3. Die Beschlagnahmung der Liegenschaften und Besitztümer auf Basis der geltenden Sanktionen soll in jedem Fall erfolgen.4. Die Stadt Stuttgart soll überprüfen bei welchen Liegenschaften und Besitztümern eine Enteignung möglich ist.5. Die Stadt Stuttgart soll nach sorgfältiger Prüfung die unter 4. erfassten Besitztümer enteignen.6. Bei Liegenschaften soll eine Überführung in kommunalen Wohnbau (ggf. mittels Vorkaufsrechten) durchgeführt werden.7. Die nach 5. enteigneten Besitztümer, welche keine Liegenschaften darstellen, sollen veräußert werden. Die Veräußerungsgewinne soll in den Stadthaushalt überführt und den Bereichen Flüchtlings-/Obdachlosenhilfe und Soziales zugewidmet werden.8. Sofern seitens der Stadt Stuttgart nicht ausreichend Personalkapazitäten für die Maßnahmen unter 1.-5. vorhanden sind, können externe Juristen beuftragt werden, deren Aufwand gemäß RVG vergütet wird. Sofern Juristen dies proaktiv ohne Auftrag wahrnehmen, soll die Stadt Stuttgart diesen dennoch eine Vergütung gemäß RVG bezahlen, sofern die Objekte der Stadt nicht bereits bekannt waren.- Durch konsequente Sanktionierung und Enteignung sowie die Überführung in den städtischen Wohnbau ist eine Entlastung eine Immobilienmarkts und auch Entlastung des Sozialbudgets zu erwarten. Da sich das RVG und die resultierenden Honorare an den Streitwerten/Aufwand orientieren, ist auch bei einer Durchführung durch externe Juristen (sofern kein städtisches Personal verfügbar ist) eine kostenneutrale bis kostenpositive Wirkung zu erwarten.",,-238,333,,,,,source_files/buergerhaushalt_3.html,Zusätzliche Themen
Subventionierte Zugtickets in die Partnerstadt Straßburg,70796,0711master,"
        Stuttgart (gesamt)      ",2023.0,"Tarife, Tickets",Ausgabe,1270.0,,"Straßburg und Stuttgart sind seit 1962 Partnerstädte. Mit der Einrichtung der TGV- und ICE-Verbindungen nach Paris, erreicht man Straßburg in nur 1h 18min. Doch man hört kaum von Massen an Stuttgartern, die diese Möglichkeit nutzen, denn die Fahrkarten sind einfach viel zu teuer. Wenn man spontan nach Straßburg fahren will, zahlt man bis zu 125 Eur Hin- und Zurück. Wenn man früh bucht, sind es immer noch um die 60 Eur. Für ein Wochenende mag das noch ok sein, aber für einen Tagesausflug ist das viel zu viel. Wenn Gruppen zum Europäischen Parlament oder zur Weinmesse fahren, mieten Sie darum meistens einen Reisebus. Die Fahrt mit Regionalzügen wären zwar günstiger, doch bei einer Fahrtzeit zwischen zweieinhalb und dreieinhalb Stunden oneway machen Tagesausflüge keinen Sinn.Darum sollte die Stadt Stuttgart subventionierte Zugtickets für Fahrten nach Straßburg mit Fernverkehrszügen anbieten, die sich preislich am BaWü-Ticket orientieren und nur Stuttgarter Bürgern zur Verfügung stehen. Damit kann der Partnerschaft zwischen beiden Städten neuer Schwung verliehen werden und der Austausch zwischen ihren Bürgern massiv erleichert werden.Alternativ könnte eine direkte Regionalzugverbindung Stuttgart-Straßburg eingerichtet werden, um die Fahrzeit zu verkürzen. Oder alternativ eine IC-Verbindung nach dem Vorbild des ICs Stuttgart-Konstanz, in der Nahverkehrstickets wie das BaWü-Ticket anerkannt werden.",,-320,333,,,,,source_files/buergerhaushalt_3.html,"Busse, Bahnen (ÖPNV)"
Mehr Parkplätze für Anwohner schaffen,71282,armerbuerger,"
        Stuttgart (gesamt)      ",2023.0,Parken,Ausgabe,1271.0,,"Es gibt viel zu wenig Parkplätze für Anwohner. Diese müssen geschaffen werden.Es werden künftig noch mehr Parkplätze zugunsten Elektroladesäulen weg fallen und auch diese müssen kompensiert werden. Es ist dabei irrelevant, ob die Parkplätze ober- oder unterirdisch gebaut werden.",,-508,333,,,,,source_files/buergerhaushalt_3.html,Verkehr
Überweg  Schönbuchstrasse Stuttgart Rohr,70745,Walter Raible,"
        Vaihingen      ",2023.0,Fußgängerüberweg,Ausgabe,1272.0,,"Der Radrundweg um Stuttgart kreuzt am Ortsende von Rohr die Schönbuchstrasse, kurz vor der Brücke über die Autobahn. Dieser Übergang ist sowohl für Radfahrer wie auch für Fußgänger gefährlich, vor allem im Berufsverkehr. Hier sollte ein Übergang geschaffen werden.",,-107,332,,,,,source_files/buergerhaushalt_3.html,Verkehr
Zuffenhausen- Hohensteinpark umgestalten und aufwerten,72358,Zuffen,"
        Zuffenhausen      ",2023.0,Weitere,Ausgabe,1273.0,,"Der Platz mitten im Wohngebiet und gegenüber von Schulen würde durch ergänzende Anlagen wie eine Calasthenics- Anlage, Trampoline im Boden o.ä. deutlich an Aufenthaltsqualität für jung und alt gewinnen.Vor allem Räume sich zwanglos zu treffen, Begegnungsräume zu schaffen oder Sport zu machen nehmen an Bedeutung zu.Der Hohensteinpark ruft durch  „brach“ liegende Fläche geradezu nach einer zeitgemäßen Aufwertung - auch für die jungen Menschen, die vor Ort wohnen oder zur Schule gehen.",,-115,332,,,,,source_files/buergerhaushalt_3.html,"Grünflächen, Wald, Friedhöfe"
X20-Verlängerung zum Max-Eyth-See über Steinhaldenfeld,70701,EinLandschaftsmaler,"
        Mühlhausen      ",2023.0,Verbindungen,Ausgabe,1274.0,,"Die seit Jahren in Verkehrsplänen etablierte U2-Verlängerung nach Oeffingen dauert. Die Stuttgarter Stadtteile Hofen, Neugereut und Steinhaldenfeld werden solange nicht an ihre Nachbargemeinde direkt angebunden, sodass die ÖPNV-Situation von Stuttgart zum Remstal hinaus ohne S-Bahnanschluss prekär ist (Buslinie 58 nach Schmiden via Obere Ziegelei).Aus diesem Grund böte sich an, einen Expressbus bis Waiblingen zu bestellen. Vom Max-Eyth-See (U12/ U14, 54) bis Steinhaldenfeld (U2, 54) gibt es eine direkte Ost-Tangentiale,  eine schnellere Erreichbarkeit an S-Bahnen und Regionalzügen im Osten, sowie eine schnelle Erschließung für Fellbacher Gemeinden nach Stuttgart. Dass dies der X20 sein kann, der anschließend über Stetten nach Esslingen führt, wäre eine Sparidee, da man dessen Fahrtzeiten direkt kombinieren könnte.",,-127,332,,,,,source_files/buergerhaushalt_3.html,"Busse, Bahnen (ÖPNV)"
Erhalt der Kirche und Dorfmitte von Schönberg als SOZIALER ORT ,71730,Ulrich G. Schnabel,"
        Birkach      ",2023.0,Plätze,Ausgabe,1275.0,,"Problem:Die evangelische Kirche Schönberg soll u.U. mittelfristig aufgegeben werden.Damit verliert der Ortsteil von Birkach seine Dorfmitte und einen sozialen Ort.Außerdem bekommt Schönberg ca. 370 Flüchtlinge - das sind 25% der Wohnbevölkerung.Dies macht diesen erhaltenswerten sozialen Ort als Treffpunkt der Kulturen zur Integration umso wichtiger.Laut einer Umfrage des Schönbergvereins wollen  mind. 120 Schönberger Haushalte von ca. 800 explizit die Kirche, das Gemeindezentrum und diese Dorfmitte als sozialen und ökumenischen Ort für Birkach und Schönberg und für Menschen aus der Umgebung erhalten.Vorschlag:Bitte um städtische Fördermittel zur Instandhaltung der Gebäude.Fördermittel zur Sanierung der Kirche Schönberg als Dorfmitte und SOZIALEN ORT für alle Bürger:innen sowie als ökumenischer Ort für Menschen ist lebensnotwenig.Zweck:Kultur-Veranstaltungen, Bürger:innen-Treff, Ortsteil-Feste, politische Veranstaltungen, ökumenische Gottesdienste (auch für Flüchtlinge), Heimat des Schönberger Bürgervereins, (interkulturelle) Kulturveranstaltungen.",,-134,332,,,,,source_files/buergerhaushalt_3.html,"Stadtplanung, Städtebau"
